StartDate,EndDate,ResponseId,Appliances-Score,Interio-Score,Interio-Text,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Interio_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,product,price,range,availability,reviews,servicing,brand,experience
09-10-22 20:20,09-10-22 20:28,R_1DGc4wRC3HFXBwm,,,,0.0,0.528188825,0.0,,New Delhi NCR,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Importer or Trader,5-10 Lacs,"Married, with kid(s)",Above 20 years old,,,,,,,,,
09-10-22 20:21,09-10-22 20:28,R_1CEATn3gn59I6uo,,,,0.0,0.528188825,0.0,,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:22,09-10-22 20:28,R_9QQOzYyPFaBGaAx,,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:15,09-10-22 20:28,R_2ARKS9atAIXMRAN,10.0,,,0.0,0.528188825,0.0,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:10,09-10-22 20:28,R_3G7D3bD6Rncnaca,,,,0.0,0.528188825,0.0,,Chennai,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Single (includes divorced/ widowed), with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
09-10-22 20:23,09-10-22 20:28,R_3NJtaB8tPViigvo,,9.0,It's good ,0.003795809,0.040912528,0.955291629,Positive,Mumbai,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:04,09-10-22 20:28,R_1JFSNCPUcW1prss,9.0,10.0,Is a premium brand,0.031615693,0.68684566,0.281538665,Neutral,New Delhi NCR,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Homemaker (non-gender sensitive),,"Married, with kid(s)",10-15 years old,,,,,,,,neutral,
09-10-22 20:14,09-10-22 20:28,R_1LFMBSJM3S1hpIn,,10.0,Godrej is a good brand. Cost effective,0.00326954,0.057434235,0.939296186,Positive,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,positive,
09-10-22 20:20,09-10-22 20:28,R_1JEBRmOGHE5QbaL,10.0,10.0,I like its products ,0.005764817,0.083045319,0.911189854,Positive,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
09-10-22 20:20,09-10-22 20:28,R_2DP7kXNbsOiSMHb,2.0,,,0.0,0.528188825,0.0,,Hyderabad,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Government official,10-15 Lacs,"Married, no kids ",,,,,,,,,,
09-10-22 20:21,09-10-22 20:28,R_3gN7C1oPZDM3nxK,,10.0,,0.0,0.528188825,0.0,,Kolkata,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:20,09-10-22 20:29,R_7UkEVge59p5MLyp,5.0,,,0.0,0.528188825,0.0,,Mumbai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:21,09-10-22 20:29,R_25tI7G33isswAFu,,,,0.0,0.528188825,0.0,,Chennai,26-30,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 50 or more employees,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:12,09-10-22 20:29,R_2E75IzKlYv6tdS9,,9.0,Because of good survice ,0.010755687,0.221075714,0.768168628,Positive,Bangalore,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:24,09-10-22 20:29,R_9YTJC74HCjouRDb,,9.0,Godrej provide us high quality products ,0.008873071,0.184380963,0.806745946,Positive,Mumbai,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,positive,,,,,,,
09-10-22 20:21,09-10-22 20:29,R_yOUlOcorIK8cUrT,,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:20,09-10-22 20:29,R_3oNLYX8AWakLLn2,9.0,,,0.0,0.528188825,0.0,,Mumbai,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:05,09-10-22 20:29,R_3HYqyCoI0QkpJI4,10.0,10.0,It has long time good usage,0.004664066,0.103556633,0.891779363,Positive,Chennai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:22,09-10-22 20:29,R_2PjPOG5Ar14fSnQ,10.0,10.0,I like their quality of product and services.,0.005253845,0.059115659,0.93563056,Positive,Hyderabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,,positive,,,,,,,
09-10-22 20:21,09-10-22 20:29,R_2RQGH1F6NhX7qj0,6.0,8.0,It long lasting ,0.022499703,0.512394846,0.465105474,Neutral,Kolkata,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, no kids ",,,neutral,,,,,,,
09-10-22 20:22,09-10-22 20:29,R_UxqOvOzE0WRjALn,,,,0.0,0.528188825,0.0,,Kolkata,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Above 20 years old,,,,,,,,,
09-10-22 20:22,09-10-22 20:29,R_2TELzEwAp9hSHEh,,8.0,This is the brand I trust,0.004023957,0.150000632,0.845975459,Positive,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",Government official,10-15 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",,,,,,,,positive,
09-10-22 20:24,09-10-22 20:29,R_1QiN1fDNU4eVouN,2.0,,,0.0,0.528188825,0.0,,Kolkata,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Shop or Store Owner,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:22,09-10-22 20:29,R_3JDbcXINYDnGnL4,,9.0,Godrej is well known brand for furniture and kitchen segments ,0.013826732,0.68065089,0.305522353,Neutral,Mumbai,26-30,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,neutral,
09-10-22 20:22,09-10-22 20:29,R_1CKi0pqG5BFHwpb,,5.0,It'sproducts are good ,0.008864218,0.111049563,0.880086243,Positive,Kochi,22-25,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop",Other occupations,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:21,09-10-22 20:29,R_1qdHTxocnhKxltj,,,,0.0,0.528188825,0.0,,Mumbai,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:12,09-10-22 20:30,R_32L7HWcIXB4KgIS,,4.0,,0.0,0.528188825,0.0,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:04,09-10-22 20:30,R_1JLceFLJvM4CdEc,,10.0,"Godrej has been used from generations in my family. We buy them only for large long lasting needed products like cupboards. They are reliable, well built and more known for their trust ",0.005873384,0.184372306,0.809754372,Positive,Chennai,18-21,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,,positive,,,,,,positive,positive
09-10-22 20:16,09-10-22 20:30,R_2coUmVHW9D8C1rP,,,,0.0,0.528188825,0.0,,Ahmedabad,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:21,09-10-22 20:30,R_3nMGycfYdyI2KN2,,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:20,09-10-22 20:30,R_1F3MsKzWXMejL20,,,,0.0,0.528188825,0.0,,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:21,09-10-22 20:30,R_3HN5mUBGR5bJd5L,6.0,,,0.0,0.528188825,0.0,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:21,09-10-22 20:30,R_2SfdZcCLTfUpSOY,8.0,7.0,Quality is very nice,0.003013473,0.022672055,0.974314451,Positive,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,positive,,,,,,,
09-10-22 20:24,09-10-22 20:30,R_2c028yBhuBamfFV,,,,0.0,0.528188825,0.0,,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:17,09-10-22 20:30,R_2dYB3cryOfdSxYx,3.0,,,0.0,0.528188825,0.0,,New Delhi NCR,41-45,Female,Graduation/ Post Graduation: Professional,"Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",16-20 years old,,,,,,,,,
09-10-22 20:25,09-10-22 20:30,R_uxgqjW56rnxePxT,,,,0.0,0.528188825,0.0,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Above 35 Lacs,"Single (includes divorced/ widowed), with kid(s)","Below 10 years old,16-20 years old",,,,,,,,,
09-10-22 19:57,09-10-22 20:30,R_3PFg23mNxRXZuUd,9.0,,,0.0,0.528188825,0.0,,New Delhi NCR,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Homemaker (non-gender sensitive),,"Married, with kid(s)","10-15 years old,16-20 years old",,,,,,,,,
