StartDate,EndDate,ResponseId,Appliances-Score,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,product,price,range,availability,reviews,servicing,brand,experience
06-10-22 12:19,06-10-22 12:37,R_2aeNe0KyniTk4jk,,9.0,The quality is not up to the mark compare to other brand,0.797922194,0.190519005,0.011558791,Negative,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Married, with kid(s)",10-15 years old,,negative,,,,,,negative,
06-10-22 12:30,06-10-22 12:37,R_1mW2IFulFnGSjwp,,,,0.0,0.528188825,0.0,,Ahmedabad,46-50,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Homemaker (non-gender sensitive),,"Married, with kid(s)",16-20 years old,,,,,,,,,
06-10-22 12:28,06-10-22 12:40,R_2wbGrpSPIimLBWR,8.0,,,0.0,0.528188825,0.0,,Pune,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Government official,10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
06-10-22 12:29,06-10-22 12:40,R_cA4rCZEfYNctgBj,,,,0.0,0.528188825,0.0,,Hyderabad,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
06-10-22 12:14,06-10-22 12:40,R_3kF0DB9NlVDPslg,8.0,,,0.0,0.528188825,0.0,,Kolkata,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Married, with kid(s)",Above 20 years old,,,,,,,,,
06-10-22 12:27,06-10-22 12:43,R_ah2sIECPKuWp71f,,,,0.0,0.528188825,0.0,,Mumbai,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
06-10-22 12:34,06-10-22 12:45,R_bO7SRSMd6yWaqkN,,,,0.0,0.528188825,0.0,,Mumbai,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
06-10-22 12:28,06-10-22 12:49,R_2zkm4blqY1s5Dpl,10.0,10.0,"Secure, unique, highly technical ",0.014165382,0.363821477,0.622013092,Neutral,Kolkata,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 12:28,06-10-22 12:51,R_3JEHHjG9p8eBjR0,,10.0,"Godrej smart locks help you to unlock doors from anywhere through an app on your phone, or they can open when you're in close proximity to your front door. ",0.004255963,0.3326976,0.66304642,Neutral,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 12:24,06-10-22 12:52,R_2aDq3KXqXw3EH4K,,10.0,I like it very much,0.002131296,0.020807631,0.977061093,Positive,Kolkata,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
