text,text.1,text.2,text.3
,,Quality of furniture is not good,Good quality products 
I have used godrej few years ago customer service not good,,Godrej is good brand really good furniture ,
,I am use more ,,
Need to up to date with the new technologies ,,,They are very old in this field and trustworthy 
,Godrej is a popular name in the field of locks. We can trust them,Its a famous brand. We are using their products from generations,
The durability is not much compared to other brands,,,
,,,
Good service ,,Very good product ,
,Godrej is a very old brand and trustworthy brand. ,Because I trust the brand a lot. ,
I LIKE THEIR PRODUCT,,,
Op no one is the most of the time to get the time of a a a one of a a person who is a part of my life is not a problem to the same no and no one has to do many people in the other all of the time and I will be there will ,It's a good time to come in my life and the new life is a part of the time to get it to the same time and it was very good and the new life is very much for the same to you so much of you and I will come to your house and come to your family a very much for you to come and you will come to the same time and it is a ,,
,,,
Godrej indian company I like indian products at any cost,,I like his products good quality,
,,,
Products quality is very good,,Quality of the product is very good and long lasting,
,Godrej is quality and kong lasting assured ,Quality is good,
,It provides good home security solutions for homes with the latest technology and is very secure.,Provides furnitures with good modern design and comfort.,
Because i have an experience of using this brand,,,Because i used this brand and it is strong
I like this brand,,,I like this brand
,,I dont like that brand,
"Godrej has good quality product, good after sale services and is a trusted brand.",,"Godrej has sturdy quality furniture, its new wardrobes and safes have digital locks and service is good. Trustworthy brand.",
,,Its has better products,It has better quality
Godrej doesn't produce wide range of products and they are less popular than lg and samsung .,On the case of digital lock godrej gives good performance. It's had great money value.,,
,Good security system provides and unique features ,,Very good product and performance also good 
I GAVE ACCORDING TO ITS CUSTOMER SERVICE,,,
,,,Godrej is a good brand but price bracket is more
,,"Product is very good,long lasting ",Good opinion about products
,I like godrej brand and that's too good ,,I like godrej brand that's too good and safe
I don't like Godrej products,,,
,,,Because it's so good and easy relaxing
I like their service,,I like their services,
,Because it's services are excellent ,It's services are too trustworthy ,
Because Godrej give us very good service ,,Because of build quality ,
,,,
,,Because of wide variety of furniture and good quality ,Because of good features and good system 
,,Godrej is the brand for standard locks and smart home system ,
,I like it,,I like it
,It's a old and trusted brand I frequently listen this brand from my childhood still at home we are using only this brand locks,It's a famous brand and good quality and very sustainable products,
,,Godrej is a one of most and reliable products in market. ,Godrej home locker is easy to use and good quality product.
,,,
"Godrej Group is rated 4.0 out of 5, based on 5.0k reviews by employees on AmbitionBox. Godrej Group is known for Job Security which is rated at the top and given a rating of 4.1. However, Career growth is rated the lowest at 3.3 and can be improved.",,,"Godrej Group is rated 4.0 out of 5, based on 5.0k reviews by employees on AmbitionBox. Godrej Group is known for Job Security which is rated at the top and given a rating of 4.1. However, Career growth is rated the lowest at 3.3 and can be improved."
Because it has long lasting products and it has good customer service ,,It has long lasting products and it has good customer service ,
,,Itbis very good and quality is excellent ,Godreh products has good quality 
,,,
Godrej is a renowned brand,,,
"Product range is not that wide
",,Sturdy and durable. The brand is reliable. ,
I know about it ,,I know about it little,
,,It's gobal and has a reputation of quallity products,
It's a good brand and trustworthy brand,,,
Because it gave me an average opinion on using that products,,,It give me good impression on using it
its well known Brand we are using from childhood ,,,as i said from childhood we are using Godrej product 
,i personally use locks of godrej....till now there is no complaint ,i didnt got that nice reviews in family circle....,
Good products ,,,Good product 
Very good product ,,Very good quality ,
its a trusted brand from long and it always proves,,trusted brand for long time,
because its a good brand ,,,its a good brand 
10,,,
"Good material,long lasting,easy to use,
Comfortable ",,"Easy to use,long lasting , easily available, comfortable ",
,,Bcz its really good product ,
This brand look is great and very very nice design model . comfort my home alliance ,,Godrej brand is very very great brand.manny people review in best brand ,
,,,
Because i like the product,,,
The brand has numbers of products and items. ,,,It has hygienic Products and quality matters . 
Good quality,,Good quality,
,Because I use godrej brand several years the product quality and durability was awesome so i give that score.,Because I used Godrej Brand Many years so i definitely trust the brand and the products quality and durability.,
,,Very trustable brand ,Very trustable brand 
,,It's a good brand,It's has good quality
It has wider products,,,It is useful 
Godrej is old and gold brand products always satisfied ,,Godrej is old branded company godrej product very strong and best ,
,Very nice and premium products,,Digital safe pro locker
It has average durability ,,Other brands have more better products and options ,
Had experience with that. ,,Because of experience I had with it.,
8,,,10
Because it had wide range of home appliances that had good quality.,,Because it is a big brand with exclusive items with affordable price and customer taste.,
It is very good quality ,,,It's very good quality.
,Trusted brand ,,It is very 
,,,
Because of godrej is allways a good brand ,,,
,,Quality,Type of products
Good brand ,,,Reputed branded products 
,,Godrej is the trusted brand,Godrej is the most trusted brand that i can recommend to others
,It has excellent services and reliable products,,Because it has best services and excellent products
I love godrej,I love it that's why,,
Good products  but improve some features ,,Need improve their shopping sites and shops,
,,best and reliable products,Best brand name in this product list
Because his facilities is very good ,,,Because his facilities is very good and 
Good quality products at affordable prices ,,,Good quality products at affordable prices 
,,100,100
,,,
,Others ,Others ,
,,It is very reliable,
Made in India and a lot of fault easy to solve,,,
,,Good product ,
,5,8,
I don't know using this brand iam heard I will give 5 stars,,,
,,,I think the quality of the product is very good and durable
Because I didn't like the brand as compared to others as I have a washing machine of same brand which often malfunctions.,,,Because I am using this brand and this is not upto my expectations.
,They are the main trendsetters and they have the market at large.,"At present, there are many more companies that are being more innovative than Godrej",
,,,Godrej and Boyce is a good freeze machine company in india. 
Because I never bought something from Godrej. ,,I likely to purchase from Godrej. ,
Need improvement in quality.,,,
,,Good design furniture brand good product,
,Godrej is a best brand of locks ,,
This is a very good brand.,,This is a very good brand ,
8,,,
BASICALLY ITS A GOOD BRAND BUT AFTER  SALES SERVICES IS NOT SO GOOD.,,,
,,Because I love this companu,
5,Its safety more,,
It has old and trustworthy ,,,It has their own name and trustworthy 
,,,It's amazing but I have some trust issues
,,,It's old prestigious brand
,It's best in locks.,It's best in furniture.,
,,I like that products,
Good product ,,Good product quality ,
because i am not so aware of godrej products and even my friends and family doesn't prefer to buy the products of Godrej.,,Because now a days we have so many sffordable brands in the market who also offers customizeable designs as per customer's need. ,
,,I like godrej that's why iam giving that,
