text,text.1,text.2,text.3
Beacause the are really good easy to mainage low cost with low maintenance higher efficiency and perfect for middle clas category!,,,As usual they have affordable range and high affinity and safe secure corner for valuables!
,Because I'm using it ,Because I'm not using it that much,
,,,
It has a reputed image and has a wide range products,,,
,I have had problems with Godrej Cupboard Lock,Very Reliable and Good Furniture Company ,
,because it is very safe ,because it is safe,
,Because this is very popular and trustworthy brand ,Because this is a very popular and trustworthy brand ,
It is a good brand.,It provides good services.,,
,,Good quality of wood products ,Godrej good quality of steel and high quality of Lockers for the safety at home 
,"I am using their lock faultlessly at my home since last 2 years. Their locks are easy to use, affordable, and very secure. So I have given that score.",,"Their locks are very secure, affordable, and easy to use. Besides these I like the originated country of this company."
,Because godrej is very good company but it home security system isnot very good,Because godrej is very good and very nice company,
,,,
,,,
I'm using this brand for more than 10 years and no problem with this and also customer service is good. ,,I'm using this brand for more than 10 years and Till now it's good. ,
Godrej product is best way you think I should I do with the details and I want to make sure you got the best policy,Godrej product and I want to go Paris and I will be there at like the busy time but i help you out and about.,,
Actually presently I am not using any godrej brand products. So i am not familiar with that,,Good product ,
I m using one of his product and it's running good and also some of my friends also using their products and they also satisfied with that,,,Because I have their products running very well in my friends house and also they have a good review for their products
,,Because it has a trusted brand and I love that products,Because it is trusted website 😊
the quality of this brand products are like average and some what worth the money,,,
,It is a known brand of India and is very old and renowned company ,,Godrej is a very famous and old brand which kept it's quality 
,It is reputader brand and Lock are very effective.,It is very good and long lasting.,
,,,
Godrej is that perticular brand which is known by their names,,Godrej is the brand which is known bu every indian,
Its a good Indian brand there in business for so many years,,Very durable furniture used from my grand parents age,
,Because that's my opinion on it ,,
,,All products of Godrej is very durable and they furniture with best material ,Godrej security is best because automatic lock is best for security solution 
. Quality of their bero is too good. ,,Godrej bero has a good quality,
It has durable products but not very innovative.,Locks are reliable and durable.,,
Because that brand I used in past ,,"Because I used these brands in past
That's why",
,,very trustable,
,,Offer good delivery and installation services with high quality products at reasonable rates,They provide personalised home security and easy to use and operate
Because this product is good but not so satishfying,,Brand is good but not so satishfying,
Because it's all appliances are very reliable and also good in quality ,,,Because godrej is my favourite brand because of it's reliability and quality of services
,,Godrej is an Indian furniture company. It is very favorite brand in India. It has innovative and latest technology used products. ,Because it gives safety and long lasting products. They always come with advance technology in their products.
,,Its a good brand and prodùct quality and durability is very good reasonable price,
,Because i like the pattern of the lock and design also very good ,,Because i like the design and i m loving with it how it cares my money 
,,,This is very well known company. This is trustworthy company. They made excellent product.
,,Just because of quality ,Love that product 
It is a good brand. Produces good quality products.,,,My friends and family members recommend me this. And after that I used it and trust me I love it.
,,,
It's a good brand,,It's a good,
,"Benefits of smart locks for home safety. A lock for any and every door. Fingerprints door locks scam the Fingerprints of person to open the door,rather then using a key. ","One of the types of high quality wood used for making furniture is teak wood as it is durable and highly fire-resistant other types of wood include rosewood ,deodar ,oak, mahogany ",
Because of its design and features ,,,It is impossible to break it
,i only used it one time and i  dint give any score,,it is one of the best brand i i used ever
,"Because it was very trustworthy brand, its product quality was so good and price was very reasonable, give the safe experience. ","Its service was so good, give the valuable product, very reasonable and authentic product ",
I like it ,,Service is very good ,
,,,
As my wish,,,As my wish
,,,I love it
Because it is the best brand,,,
nice service,,,
,,Because it's a trusted brand and I have used it's product ,
"Because i have not bought or used products from this brand, hence unsure how it actually is. ",Because it is used widely on large scale and been there for many years,,
The products in electricals are ok,,Good in furniture ,
,,Premium quality ,
,,,Godrej is brand we were using for 10yrs it's safe and good 
,,,
,,Because sometimes i didn't like it ,Because sometimes I didn't like it.
Back Dated,,Good products,
Godrej is good and it's preferable for lower middle class and middle class who can't be able to afford big brands ,It's good and well known brand of India i trust it and good for india,,
Cause it's appliances are good quality,,It's furniture is of good quality,
They don't have premium products.,,Quality is not so good.,
Godrej is a domestic product with good fame and  quality. Prices are reasonable and durable. Service is satisfactory.,,Godrej product is good and with quality. Prices are reasonable and durable.,
"For a very long time, I have used various Godrej products and I am delighted with them.",,This is a very old and trustable company I am using those products for a very long time and I am very satisfied.,
,,,
Very nice ,,Very nice ,
,,matirile is not so good condition,security system is good
,Good brand and durable and locking system ,Durable and lasting of the products is the best of all,
Because I was not that satisfied with the product,,I was not that satisfied. ,
Premium brand and a good service provider ,"No doubt Godrej the most premium brand and reliable brand, where we can depend on their products. ",,
,,"I have used it .This brand has a good quality furniture, it satisfies my need",
GODREJ IS AVERAGE COMPANY NOT MUCH LATEST FEATURE LESS IN INNOVATION,,GODREJ IS LESS INNOVATIVE THAN OTHERS BUT DURABLE AND TRUSTWORTHY IN FURNITURE ,
Some items of this company is not satisfied me,,Its furniture is High quality and good looking,
Good working I like it,,I like very much ,
Prices are high for their furniture. Earlier we I used Refrigerator it is exellent. Presentrly there are several brands and not many products from godrej. ,They are good at locks. Furniture is costly. Fridge was exxecent earlier.,,
,its great to use,,
Feeling outdated ,,,
Godrej is a good brand. I know this from my childhood,I know this from my childhood,,
,Their quality is excellent ,Their products are really good and durable ,
Godrej is no more a popular brand,,,
,,,It is very superor and trusted brand
,,,
In my View Other Brands has more Features and are more Innovative Technology Based.,,,
,Because it is a big brand and it's quality is nice,Because it's quality are nice,
Because it ja rrally good brand,,Because I like Godrej brand.it is trustworthy,
It is a good brand that I trust,,,
Godrej is a company particularly known for locks and personal care products not for the home appliences.,,,Godrej is an age-old brand with excellent reputation. It is trusted by everyone and it's keeping the reputation intact.
brand is good but not the best. ,locks r safe durable and lot of variety and options available. ,,
We know Godrej is a premium brand but think it is also not unique ,,"Nothing any cause but a score, no doubt it is a very good company. ",
i know about this brand,,,
,I like there products because they have good quality product,As i said before i like this brand because they have quality products,
,Very comfortable with the same time I ,,
As per my experience their products last lomg,,I had used their products which last lomg,
Excellent platform for home appliances ,,,Excellent platform for locking 
IT AVAILABLE ALL OVER AND HAS GOOD QUALITY PRODUCTS,,,
,,"Though it's a famous brand, the product I purchased is old  model ",For the longjivity of the product 
,it is aewsome,i think so,
,"i have been using locks from godrej since my childhood. it is reliable, traditional",,
NOT USED THIS PRODUCT MUCH,,,EXCELLENT PRODUCT. WE USE FREQUENTLY. MORE DESIRED MODELS ARE AVAILABLE. 
,,,
,Because they have best quality ,,It very good quality products and easy to handle and use
Because I like it very much ,,,
I like it very much ,,Like it very much ,
Reputed company deals with variety of products. It has good customer care service.,,Good company having good customer service. This brand deals with variety of products/ services.,
,Because it is very trustworthy and secure,,Godrej is the best brand
,Godrej lock is secure and safeguard for homes and offices ,,Manufacture of high quality locks and continue with outstanding engineering capabilities 
,Godrej is one of the leaders in this category and providing great quality with superior performance locks within affordable price.,,
best 10,,,
Because this product old. ,Godrej is good brand ,,
Quality of the products,,,Good quantity
,,,
,,Yes this gives better in line too and get maximum benefits about the products and services too. ,yes get the best in class and locks that keeps in getting to the right part too. 
,,I like this brand ,
Because Godrej is the oldest and reputed brand in India. For Example I purchased a ceiling Fan at my Marriage time. Now it is running smoothly till now for the last 22 years without any major repairs. The products which were from Godrej have long lasting durability.,,As I told before Godrej is the oldest and reputable brand in India. Its reputation is long lasting and durabiltiy. The trust of the brand is the biggest success of the brand.,
,,,this is fire resistance and available in different range
Godrej is one of the oldest company in India and also has some of the best products available in market and at a lower price compared to some of the top brands,,One of the best companies in Interior solutions for homes they have a wide range of products from doors to lockers which are important in day to day functioning of our homes,
Because they are not doing any advertising related to brand or promotion ,,,
Easy to use and good quality products ,,,Good product 
It's very nice ,,It's very nice ,
"it's a good brand no doubt, but after sales service is not good",,,
It is most durable items & oldest branded product ,,Due to its durability & oldest branded company ,
We have wadrobe from godrej.. it good long durability,,,
,,,
,,It's very safeguard product ,It's very secure brand 
used many products of Godrej they are good,,,
,Godrej locks very useful and safety so very well,,
Very good quality 😊😊,,,Very nice 
,It is very safe and price is reasonable.,It is one of yhe best brand whose product is avaliable at readable cost.,
,,It gives renew of the product ,Easy to use 
,,,
,Its good,,Its been going 
,This brand is a very old brand 8n locks it technology are very good ,,
Good products and service and variety of products ,,,
Due to its features and services ,Due to its features ,,
Its trusted brand ,,Its good and trusted ,
,Nice and secure ,,Nice and secure 
,,,C u n me in my mind shi hai aalkas karna chahiye bs in a minute me and my company is looking to 
,,,
,Good,Very nice looking bhai ye video call Karo to be ,
,,,
,Good ,,Good 
Excellent customer service and range of products available at best prices with advanced technology with many offers and promotions good for customers ,They provide technology advanced locks with good features and very durable and easy to use with great security features ,,
,Their locks is highly secured. It's not easy for a stranger to unlock their locks easily.,,Safest and best locker.
according to my experience diserve this score,,,
,"good quality product ,we can use atleast 10 years",,"good product at a reasonable price ,provides a good security"
,,,
,,7,8
I like it ,,,
,,Because i like it ,90
,,100,It is nice one
,,"Oldest, trusted, widely used and readily available.",Using them for quite long with home safety and security guaranteed.
"Godrej is brand company since from so many years..... 
It products are worthful what we pay.... 
It meets needs of consumer by time to time... ","Godrej products are trustable is locks.... 
It provides safety measures for important things.. ",,
Godrej is best for all the people,,,Godrej all brands is best
I havent used godrej product alot so i dont know much about this brand.,,,
,its very good lock for daily usage,Very good brands for daily usage,
,,This product is in awesome quality ,The product have good quality and ranges
After service is not good as compared to its competitors ,,The quality is good and it's cheaper than its competitors with new modern designs,
"It is not a morden brand.
",,,It is very good but expensive.
Is the best innovative and creative brand Godrej is very durable,,Innovative and creative brand its durability is for long life,
,,Godrej Very good and fantastic and Top,
Good ,,,
,,,
,,Godrej is long lasting brand for furniture and its production doesn't have any complaint in minimum 10 years,
,,,
Durability is very good,,,Product warranty  is good
The products quality and the life are better from other and also coutomer service is good.,The locking system and the built quality means security is high.,,
,,,
,,Because it's very trustable and good product and his network is every where ,Very easy to use and trustable 
,,Because i like the godrej furniture.,
,Love it ,,Love it
Godrej is very satisfying and very good ,,,Godrej is very satisfying and very good and very nice
,,💯 and good,Very nice and helpful
"i am happy with the service
",,,
,Because I have used it and it was good,,I am currently using it and liking it
,Its a good brand ,I am using it from a long time and experience is good,
10,,,9
Godrej i think it's is leading brand but not every appliances is good and upto date,,Godrej has very good quality furniture which can be used years and years and regarding stroage unit first name came in the mind is godrej only,
I used many products.of godrej. I like very much  that quality.  ,,,
,Because of tr provide good security and good features,Because of provide good quality furniture of,
,It's endurance ,,It's quality 
5star,,,
,,Godrej is a top class brand in home furniture storage. We had been using this brand for so long and it's build quality is just amazing with premium looks,Godrej is a leading brand in home security solutions with innovative designs and systems
Because it is very trustworthy brand and we can rely on it,,,Because it is very trustworthy and believable brand
,,Because godrej is a very good brand for home appliances and it has so many good product and i also like this brand very much ,Godrej is a very good brand forlock home and i also like this brand very much 
Very good ,Very good,,
Because of the wonderfull performance,,,As it's wonderful performance and working
,,Godrej furniture is good but bit costly,Godrej provides excellent security solutions
,,It doesn't operate in this sector,Godrej comes with poor quality service 
I like it's products. ,,I like the product of godrej. It is a premium brand. ,
Because it had alot of priducts but they should launch new innovative products,,The products of that brand is good and reliable,
,"Because, it gives a good comfort for my door and gives security and lokk.",It is the only company I have more truth on their products and they maintain a good relation with customers,
,,Because of premium quality of the product.,Because it premium quality products and high safety 
,It's very good brand ,It's very good brand ,
,I like its quality and i am using currently. ,,I like its quality. 
Because it deserves it,,Because of its quality ,
,I am using products of this brand from last 10 years,,
,,Good brand and good service provided by goderaj ,
,,10-Oct,Godrej is very reliable brand 
Trustworthy company,Trustworthy,,
,It's long lasting ,Brand ,
They have such good quality products which last long,,Good quality product and very long lasting,
i use some item of this ,we use it a long time ,,
,,,
,Because of good quality ,,Because of good security services 
performance is good,,,
I didnt use that brand for past 6 years,In the lock itrms godrej is very very good onr,,
Because of its services ,,Its quality and materials ,
,,"Very attractive products
Durebilty. Easy to use. Long lasting ",Very safe locks very strong enough to protect against theft 
8,,9,
"Because this is good brand, he makes best quality of product so that is why the main reason",,,Because godrej and Boyce is good brand For sequarity solution he make better quality products
Godrej are the product very quality and have been very good to us customer support team for many years now we have a great team here.,,,Godraj are the product very quality and have been very good to us customer support team for many years now we have a great team here.
It's very good ,It's very good brand ,,
,,,
Products are good ,Locks are very good,,
,Good very nice product.,,
I had a godrej product and several times I have to repaired that product.,It's amazing and trustworthy ,,
,,,
Very good brand value and quality ,,Excellent brand value ,
Because I used this product in the past,,,It is a very good company 
,,,
It's very good,,,It's very good
,Because it build quality is strong ,It quality is very strong ,
,,I like it very much ,
,Locks are very heavy,,Awesome product 
,,8,
,Godrej is one of the best brand in the market. it is so durable and safe for front doors.it does not use spring to open the lock.,i give this score it is branded products ,
Some items are good of this ,,,It is not good for this 
It's the biggest brand in India with great consumer satisfaction and innovative in its design and technologies ,Godrej is my favourite due to its design and security it provides ,,
I don't use its products.,I use it's locks.,,
,it is the most famous brand in security,,fish is the most secure and most popular brand in security
,,,
I trust this brand but not much,,,
It's a good brand ,,,It's quality is good 
,It's good ,,It's good 
Because I haven't used this brand so it is impossible to trust on them while buying large appliances.,,It is still in traditional fashion.,
,,Very good quality as well as brand name ,
,,,
,,Because it is a great company and it producess many use full product.,Because it deserves it.it have done so many good works.
,,,
Because godrej is good company for large application but problem i faced they does not have not good power for saving electricity compare to substitute product.,Because godrej lock is durable at lowest price comparison to the substitute goods,,
This is a very attractive power consumption ,,,Good response 
,I am very relaxing after locking my room with godrej locks.,I like it.,
It's a good and trustworthy brand ,Really high quality locks,,
,It's good ,,
,It's a reputed and old brand. It's locks are durable.,,Old and reputed brand in this segment.
Godrej is very satisfying ,,,Godrej is very nice
I think this is a very popular and wonderful brands for me and my household. It has the best products.,,,In my opinion that is a very powerful brand with excellent quality and products.
It's good and old brand but not that good ok ok,,Good and old brand can b trusted,
It is a good brand with wide range of products.,,It has good services.,
Godrej is very good brand when comes to refrigerators and past we used it and overall it performs good ,,It is one of my preferred brand when it comes to furniture and this is good brand ,
It is a brand that i am using for a long time. ,,Its a brqnd that i trust. ,
It's because it provides really good feature,,,Because it provides really good features 
,,I think it deserves it,In my view it deserves 
i find this score relevant to this brand,it's a good brand for locks as i trust the brand,,
,,Bdhdhd dhdjd dhdjd djdjd djdjdjd djdjdjd djjdjdjskwiye ejeiirkrjzys ejeyxoxbwyye zuxyd djdjdjd ,Hduud djdjd djjdbdjdjeh djdjd djjd djdh
,Very good day for your support of,,
Its products are good but no have much features.,,It has a little higher price than others.,
Because godrej provide best item and service,Because godrej provide best lock and security,,
It's a trusted brand formany years.,,It's a very good brand,
,There have the benefits ,,
,,,I like it because it is very important for me 
,,Very trusted ,Good feeling 
,,Clean cover,
It's very good brand ,,,
,"The locks of this company is very good
",,Very good locks 
The godrej products are good but not that very much good,,,Security products and lockers are very good in godrej
I love it,,,Because it is best 
,Godrej is one of the most famous brand which has excellent quality at affordable price. ,Godrej is one of the most prestigious brand which has excellent quality at affordable prices. ,
,Because it very strong,,Because it is secured
,Because those locks are good,,Because i think they deserve only this 
,,,
,Good brand value,,Good brand value 
,I never used this product before and do not know much about this brand.,,
,Has good quality locks with good gripping and locking mechanism .,,EThey have safes which are technologically advanced and strong .some of them are fire proof also 
Because I have heard a lot about the brand but am yet to use it myself,,,Because I have been using it for a very long time
9,,7,
7,Because it is durable ,,
,,"Because is durability and finishing touches, quality",Because its quality and durability
I like the brand as it is a global brand,,I think I will be available for common people ,
Because I have a good past experience,,Because I have a very good past experience,
,,,
I like its product quality. ,I like its quality ,,
It gives better quality product,,,Its best in class product 
Very much,,I love,
,,,Because that's perfect product 
10,,10,
,It was good and i like it,It is very good ,
,bcz of quality ,,quality... safety amd security... and especially their services 
This because gooderj is very beautiful and trusted company,,I like this because of the product of this company is very much trusted ,
,,,
,,Because Godrej brand is a very nice quality brand so I'm give this rank. ,Because Godrej brand locker is a very secure Locker so I'm give this rank. 
Godrej has good quality of purchase ,,,It has good quality of goods 
It is strong,,,It is good and nice 
Average product ,,An average product,
,,Old reliable company with durable products ,Reliable products
,,I like it ,
It has a good reputation ,,,Very nice brand 
,,because its a branded company also very good worth for money,because they are branded and unique and crwtive and very well prepared worth for mo ey value
,"Good durable lock
",,Good durable lock
,,,
,Quality trust,,Good
Because of good quality of products,,,
,Because it is the top brand which I have been using,,Commonly used security lockers around
,,It's good ,It's very good 
Product are very nice,,Is a premium brand,
,,Godrej is a good brand. Cost effective,Godrej is very good brand. Godrej product is cost effective and good build quality
I like its products ,,I like its products ,
What the fuck ,,,U will get back to Anganwadi 
,9,9,
Because it is a trusted brand and we use them from generation ,They are trustworthy ,,
,,,
,,Because of good survice ,Because of good survice 
,,Godrej provide us high quality products ,Because godrej has premium quality products 
,,,
10,9,,
It has long time good usage,,It has long time good usage,
I like their quality of product.,,I like their quality of product and services.,
It's hardware good,,It long lasting ,
,,,
,This is an excellent lock,This is the brand I trust,
Hi I was just wondering what time the meeting is on Monday pm class kar ,,,
,,Godrej is well known brand for furniture and kitchen segments ,Godrej is well known brand for security and lock 
,,It'sproducts are good ,I have used it and its good
,Because it's customer service is very supportive ,,
,,1,3
,,"Godrej has been used from generations in my family. We buy them only for large long lasting needed products like cupboards. They are reliable, well built and more known for their trust ","Godrej is a company that has been very trusted by myself and my family members. We have been using Godrej products from generations like our cupboards.
They are built extremely good, long lasting and a good look and are more reliable than other brands"
,,,
,Amazing quality ,,Amazing quality 
,,,
Good service ,,,Service 
Good quality products ,,Quality is very nice,
,,,
Very good,,,
,,,Very good one
It's a nice brand and product are of good quality ,,,
Lesss used,,,Someone using and have good response
100,,,
,It's not so durable,,Don't like the quality and 
,Because its really amazing brand that makes secure sytem for home,Its really amazing brand but not as good as others in case of home furnishing,
,,7,
7 out of 10,,,7
,,Great brand value ,Great brand value 
I have used it in the past,,,
Godrej brand very good anf and nice,100%,,
"Being the oldest refrigerator company in India, Godrej offers good quality of refrigerators. Just like other brands, it has its own hits and misses. One of the biggest miss from Godrej is the unavailability of premium French or multi-door refrigerators which all other big brands offer.","Being the oldest refrigerator company in India, Godrej offers good quality of refrigerators. Just like other brands, it has its own hits and misses. One of the biggest miss from Godrej is the unavailability of premium French or multi-door refrigerators which all other big brands offer.",,
,,"It's old and I love it
","It's old and connected to my family
"
,Very good locks,,
It's have less warranty period ,,,
,Trusted ,Quality is good and durable,
,It's simple although very secure. It also comes with an affordable price,Very much durable. Also available in smart kitchen version. Comes with an affordable price,
10,,10,
,,Quality of products is good and reliable.,
,,Because it deserves it ,It is a great company and they produced best in quality products.
Because design are not good,,Because they are reasonable in price but designs are not look very attractive ,
Its a good brand but there is something they lack of innovation ,Nice services ,,
,,,
,,This is very good ,This is very good and interesting 
Because I use products of this brand,Because I use it,,
10 out of 10,,,
Because godrej are good and trusted brand and i love this brand they are provide good quality products ,,,Because they are provide good quality of products and trusted brand and they are provide good technology 
,,It is very good product ,
,"From the timeless Godrej lock, their offerings have evolved to high-end holistic security solutions that today safeguard millions of homes and offices as well as the premises of prestigious institutions like the Reserve Bank of India, the Taj Mahal and other national organizations of importance.",,"Locks & Security Solutions
Godrej Locking Solutions & SystemsGodrej Security Solution. For over a century, Godrej has been eponymous with pioneering cutting-edge products and integrated security solutions.From the timeless Navtal lock, our offerings have evolved to high-end holistic security solutions that today safeguard millions of homes and offices as well as the premises of prestigious institutions like the Reserve Bank of India, the Taj Mahal and other national organizations of importance."
,,It is a well known trusted brand,
Quality is good,,Quality is nice ,
Because godrej is a good product manager,,,Because its products are very good 
,,It's really good brand and quality is amazing.,It's really good in quality and security.
,,,Good morning and I hope you are having a great time in the next couple of days and I hope you are having a great time in 
Good brand no fake product good quality ,,,
,,Because the furniture is durable and interior design is best,Very durable and trusted brand
Very good,,,
,,It is a trustworthy brand,
Godrej products are durable and of good quality,Godrej locks are durable and secure,,
,Locking system is good ,It's good ,
,,,Don't know
Because easy and trustworthy brand,,,Because easy to use and convenient 
,,50,
,Locking system is good ,It's good ,
,Because this brand is trustworthy ,,Because I like these brands because of their quality of products 
,,,
,,Because it is good product but does not worth too it price,Godrej is good company according to me but need some improvement 
,Because most of home locks are of goodrej.,Best quality wood used ,
Good brand ,,Very trused brand,
,,Good to hear from the new year brother too and thanks again for the ,
Godrej is the leading brand for consumer durables and is mostly known for locks and keys,,Godrej is reputed brand for furniture and home appliances.,
,Because lick quality is really good and durable locks,,Because give better security according to me.
,,Due to quality and service of product,
According to me it's good ,,Best in class ,
Godrej have a good quality of product we can trust.,,,It have strong security system in average price
Godrej has some badass build quality. It's products are very durable,,,"As I said earlier, godrej has a brilliant build quality and has wide range of products."
,,very good,very good
It's a good brand and this brand provide us a valueable product that's why,It's a awesome brand and provide us a good and value for money product ,,
Good quality service expirence,,Good quality service experience and skills ,
Good product,Good ,,
Because it is very easy to use ,Because it is very good ,,
Fast speed,,,Efficiency
Because i used their refrigerator.. and their costumer service is so good,,,I've heard of their lockers are amazing
It has quality products ,,,Provides reliable products 
"It was very useable
",,,It was very safety
,I know some about it. Not much,,
It's an old brand in market and have some reliable and good quality products ,,"Because it has products which last long and are of good quality, more choices available as per my need",
"One and only problem witg godrej is, they consume more power",,,In my opinion their material is not that good
,Good quality expernce,Very good servise expireence,
"They provide excellent,and good quality products ",Vee good quality products available with àffordable price ,,
It's good ,,,It's nice
,,because i used their products and they are good,
,It's too good,,Good
It is important because they have been working with people,,,Gidxkf9dkyydorf07
Good product ,,,Good product with the brand reputation 
,,its unique brand i fully satisfied ,godrej brand usefully many people 
,,It's always a good person to be a good person to ,
,,9,
,,,
,,,It is strong 
,,I dont like the quality,
,,5,
,,The quality is very good,Very good product
,It is a trusted brand that is designed well and always bring innovative ideas,It is more trusted brand and well known and also brings latest ideas,
,,Love it,I love it
Because it's an old company with a name,,Because it has an established name,
beacuse godrej is bestcompany in large wlwtronic products there are good lnowlwdgeble products manufacture,,They are nake good very products in this market capvity,
It is very trusted barad. And durable.,,It's a very trusted brand. And durable.,
,It is very good in terms of design and features.,,Security is very good
,,,
They provide quality services and products.,,,That provide premium quality products.
,Because it is very helpful and very grateful for me,,
"Its only average, theres better brands out there",,Its not that good,
Godrej product is very good .,,,Godrej home security items are good for home
Better quality ,,Better quality ,
,,,Because the company is trustworthy and I have used them and they were excellent 
,,Nice service with reasonable price ,Very nice service and affordable rates 
,,Godrej is a very popular brand which have a market value and it's product quality is so much batter than other.,Godrej s avery popular brand and it have a market value it's product quality is batter than others.
,Good quality,,Best services
GOOD QUALITY PRODUCTS AND SERVICES ,,,
It's price is good ,,It's is nice ,
Godrej is a multi national brand,Godrej is a multi national brand which everyone can trust ,,
,It's a branded product and gives durable products at great price. ,,It's a all in one solution branded product.
,,From advertisement ,
,Very easy to use,,
In my opinion that is very reputed company with all high quality products.,,I think that is one of the superior brand with all the genuine and smart products.,
,,very good brand,
I like this brand very much,I like this brand very much,,
,,Good brand value,Good brand value
,I feel there are other brands too that are good,,
,,Nothing specific ,Nothing specific 
because its a known reputed brand who make some good quality products ,,"has products which have latest technology, quality is superior, products are easily find in store",
,,Because this brand provides really good features ,Because this provides really good features 
,,I like the extremism ,I like the extremism in the group 
,,"I have been using it for a long time and there are no complaints, it's preety much the same today also.",It's very reputated in this market and various positive reviews available.
I like this brand for implications,,,It's save and reliable
,Good product ,,
10,,10,
It's one of the leading brand in india,,,It's one of the leading brand
,Been using it for a long time. Very durable and long lasting ,,
Its an old brand nowadays not at all promotional,,,
Because godrej products has better quality ,,,Because godrej has produced premium quality products 
,, It is very good,It's very good 
Because of the most important ahe to the work of the most important ahe to the work of the day 🤥I am in ,Because it is very good,,
,Because of good quality ,,Because of good quality 
Don't have much experience with Godrej Products ,,,Best in industry in locks
,,,Very nice and helpful inbox to work with you
,,,
5,,,
Godrej is a reliable brand ,,,"Because , I don't trust much on this brand "
,,,
,Good quality lockd,,
"It has kept it's legacy with an assured quality product no matter what the product is, it has maintained a quality that can be trusted. ",,,It's a brand that offers more than the customers had thought about a product before purchasing it. 
,High quality products long users ,,
Assurance,Cheap and best ,,
,It is very  secured ,Supper good product ,
,,,10
They are not good for long run,,,Really great to save your house
7,8,,
,,Because it is best product,
Customer service is not good,,customer service is not good,
I like it,,,I like it
,60/100,80/100,
,Because godrej never compromise with its quality ans always provide better product to ensure security.,Because this brand never compromise with the quality of the product. And always delivers superior quality goods.,
I have used in the past it wasn't efficient and  quality is not good ,,,
Not new products are launched as per today's needs ,,As per market pricing of the products are too high..,
10,,10,
,Good morning and I hope you are having a ,,Good morning and I hope you are having a great time in the next couple of days and I hope you are having a great time in the next couple of 
This is one of the best brand in this field ,,This is one of the best brand in this field and make outstanding products.,
It gadls good quality of products,,,It had good product 
,Because I know that brand locks are long lasting for years,,Because I know that brand was very passionate about their products 
,Because i used godrej lock they are stylish and secure,,I have godrej safe and upto now there is no complaint from the safe
,,I used it's product and i was worth of them amount,Using it was great experience 
,,Because godrej is a very old and trusted brand. And i already have products of godrej in my home. ,"Range of options.
Good customer service.
Strong and trusted brand.
Love it."
,,It gives good service,It has all thise features that i was looking for
It manufacturers good quality products ,It has great quality products ,,
,,,It's awesome 
"Godrej company is fine , it has to work on it's service center.",,,It's doing a great job regarding security and lockers
,,,
,I like its products quality ,,I like its products 
Established brand and quality products ,,Established brand ,
Good,,Durable ,
,,,Excellent brand 
excellent products,,,excellent products
I like it,,I like it,
,Because safety matters,Because It's good,
,,I like the brand ,I like the brand 
6,,8,
Because of its customer service and good product quality ,,Because of its product quality ,
,,8 on 10,Godrej is so treatable and reliable.. Hassle free system
,,,I like this brand products thats why i gave these scores
,It's secure and stronger ,,It's stronger and secure with advanced technology 
,,It is because it provides very good and high quality products in best price range and i I like the qualities very well,IT is because it provides very good and high quality products which are very effective and can be of use for a very longer time 
,8,8,
,,,
,i like it,i like it,
It is a good brand but i am a bit skeptical about it,It is trusted brand and it is trustworthy ,,
,The quality of the locks is good and it's durable,,
Because its reliable ,,,Because its reliable and trustworthy 
because of the service that godrej provide me,,because of the service that godrej provide,
Maine iske products use ni kiye h isliye mujhko jyada pata ni h,,I dont use this brands products ,
Because it has wide range products. And it is Indian brand which I trust,,,Beacuase i purchased one of its safes.. it's durable I am extremely satisfied with the quality 
,,,I loved this product items 
,,It's most trustworthy brand,It's a most trustworthy brand
Godrej is an trusted brand. Their products have good warranty and guarantee. And they have good customer service.,,Godrej is an trusted brand. They have good variety of products. They have good customer service. Thank you.,
"It is good
",,,
,,,From advertisement 
Because they make reliable products ,,,Because it is best available in market 
,,Godrej provides good quality products at reasonable price and good aftersale service. So why I give this grade.,Godrej is a traditional brand and also seems in the modern present world by coupup with technology. It is not a small thing. So why I give this grade.
,Because this is renowned name in appliances industry. They provide best quality I am using also lot of products include locks for years now.,,As i already discussed they provide best quality amongst all so i gave preference to that when I am buying anything from market
It is because it's customer service support is so awesome,,9,
Good quality ,,Performance quite ,
It is because its customer service support is so awesome.,,,
"Godrej performance and price are reliable
",,,
,Because it's very helpful and unique look and it's also very attractive and they provide credit us all the facilities of locks,,Because it's very helpful and unique look and it's also very attractive and they help and provide us all the facilities available
,It is very established brand I personally use it experience it that is good ,It's established brand I personally experience that ,
"Godrej Consumer Products Limited (GCPL) is famous for manufacturing soaps, liquid detergents, hair colourants and toiletries. Godrej AgroveT Limited (GAVL) is involved in animal feed and agribusiness. Godrej Properties Limited is a real estate company and is one of the top real estate developers in India.",,,
,Because it gives excellent service for my family.,,For its good service 
,Because of its reputation and high quality ,,
9,10,,
Good survices ,,Good survices ,
Super product quality,,"Quality items at affordable price
",
Because it's the top brand for the best quality of it's products and also very popular in my city. ,,,The are selling the best lockers in digital style. 
,Quality is  fabulous,Brand it is,
Good quality product ,,,Very satisfied with following products 
As I don't use it,As it is average ,,
Because it's products are durable,,Because it's products are very fabulous but it's costly also,
Godrej is great but not the best,,Godrej is good but not the best,
Locking mechanism ,,,Good product 
Fantastic quality ,,Good quality ,
It's one of the best brand ever,,,It's a good brand and I am fan
,,,
,I love this company.it produces great product.,,It is a great company.
,Because this Brands locks are very Strong trusted and markets value ,Because this Brands has durable and affordable products ,
,,It's product quality is good.,The brand is very reputable.
