Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive,Appliances_label,Locks_label,Interio_label,Security_label
581,06-10-22 22:14,06-10-22 22:30,R_vklwR4RwinJgXjb,9,Godrej is a domestic product with good fame and  quality. Prices are reasonable and durable. Service is satisfactory.,,,9,Godrej product is good and with quality. Prices are reasonable and durable.,,,Chennai,46-50,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Other occupations,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,0.004821531,0.072730444,0.922448039,0,0.528188825,0,0.002085082,0.029674364,0.968240619,0,0.528188825,0,Positive,,Positive,
582,06-10-22 22:21,06-10-22 22:42,R_11gp6LK21vYk5M3,10,"For a very long time, I have used various Godrej products and I am delighted with them.",,,10,This is a very old and trustable company I am using those products for a very long time and I am very satisfied.,,,Kolkata,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.001136361,0.015901944,0.982961714,0,0.528188825,0,0.002144723,0.020467009,0.977388263,0,0.528188825,0,Positive,,Positive,
583,06-10-22 22:44,06-10-22 22:49,R_3p6fVPurYz4al6S,,,,,,,,,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,20-25 Lacs,"Married, with kid(s)",10-15 years old,,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,,,,
584,06-10-22 22:51,06-10-22 22:55,R_UPDjDNVD78F6BdD,10,Very nice ,,,10,Very nice ,,,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,20-25 Lacs,"Married, with kid(s)",10-15 years old,,0.006577455,0.053017132,0.940405428,0,0.528188825,0,0.006577455,0.053017132,0.940405428,0,0.528188825,0,Positive,,Positive,
585,06-10-22 22:37,06-10-22 22:56,R_2q8lxa5Wyxd7Ckh,,,,,6,matirile is not so good condition,10,security system is good,Pune,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",25-30 Lacs,"Married, with kid(s)",10-15 years old,,0,0.528188825,0,0,0.528188825,0,0.834604144,0.153251171,0.012144692,0.005862793,0.060226109,0.933911085,,,Negative,Positive
586,06-10-22 22:47,06-10-22 22:58,R_33pxlwGFkF9KrdS,,,10,Good brand and durable and locking system ,10,Durable and lasting of the products is the best of all,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,0,0.528188825,0,0.009956294,0.17941387,0.810629904,0.002318227,0.035402142,0.962279618,0,0.528188825,0,,Positive,Positive,
587,06-10-22 22:15,06-10-22 23:02,R_7R1izBjR8AzET2V,7,Because I was not that satisfied with the product,,,7,I was not that satisfied. ,,,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,,0.923941493,0.072283901,0.003774546,0,0.528188825,0,0.888572872,0.101758063,0.009669037,0,0.528188825,0,Negative,,Negative,
588,06-10-22 22:34,06-10-22 23:03,R_2w4DSCxKjIjdabz,9,Premium brand and a good service provider ,10,"No doubt Godrej the most premium brand and reliable brand, where we can depend on their products. ",,,,,Kolkata,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Car/ Jeep/ Van",Shop or Store Owner,Below 5 Lacs,"Married, with kid(s)",Below 10 years old,,0.010896492,0.188747555,0.800355911,0.003317131,0.097148135,0.899534762,0,0.528188825,0,0,0.528188825,0,Positive,Positive,,
589,06-10-22 20:21,06-10-22 23:18,R_5pPIfrrddBXwcuZ,,,,,10,"I have used it .This brand has a good quality furniture, it satisfies my need",,,Kolkata,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Junior/ Supervisory,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,0,0.528188825,0,0,0.528188825,0,0.00198935,0.028059464,0.969951153,0,0.528188825,0,,,Positive,
590,06-10-22 23:39,07-10-22 0:15,R_3ml75H4Lww4HWvz,6,GODREJ IS AVERAGE COMPANY NOT MUCH LATEST FEATURE LESS IN INNOVATION,,,10,GODREJ IS LESS INNOVATIVE THAN OTHERS BUT DURABLE AND TRUSTWORTHY IN FURNITURE ,,,New Delhi NCR,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Other occupations,5-10 Lacs,"Married, with kid(s)",Above 20 years old,,0.46713388,0.489000112,0.043866016,0,0.528188825,0,0.591591299,0.358399093,0.050009634,0,0.528188825,0,Neutral,,Neutral,
