Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,score,text,score1,text.1,score2,text.2,score3,text.3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,text_Negative,text_Neutral,text_Positive,text.1_Negative,text.1_Neutral,text.1_Positive,text.2_Negative,text.2_Neutral,text.2_Positive,text.3_Negative,text.3_Neutral,text.3_Positive,label,label1,label2,label3
1525.0,13-10-22 23:37,13-10-22 23:49,R_WkXNbMe8Dv9IODT,6.0,Just heard about it so,6.0,,6.0,Just heard about it and not used much so..,6.0,,Bangalore,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, no kids ",,,Executive-Middle/ Senior management,0.121561639,0.828010798,0.050427545,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,Detractor,Detractor,Detractor,Detractor
1526.0,13-10-22 23:34,13-10-22 23:49,R_3HkpHhfWlSm4k5P,,,,,,Godrej is number one brand in India which is very old brand and can trust easily ,,Because they are the top priority in home security ,Bangalore,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1527.0,13-10-22 23:44,13-10-22 23:51,R_31FQ0JJu4Z2mSyp,,,,,,,,,Hyderabad,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Homemaker (non-gender sensitive),,"Married, with kid(s)","10-15 years old,16-20 years old",,Homemaker (non-gender sensitive),0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1528.0,13-10-22 23:40,13-10-22 23:51,R_1ml1jKwnyq2U6kU,,Very quality,,,,Good,,,Pune,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Above 20 years old,,Executive-Middle/ Senior management,0.042309418,0.38907513,0.568615437,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1529.0,13-10-22 23:39,13-10-22 23:52,R_8zVXS44SaRKmUmZ,,,,It is a brand that we use for generations and never it once faulted,,,,I have not used it much but have seen in hotel stays.,Bangalore,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.094277203,0.577625334,0.328097403,0.094277203,0.577625334,0.328097403,0.094277203,0.577625334,0.328097403,  ,  ,  ,  
1530.0,13-10-22 23:38,13-10-22 23:53,R_3FOPHkq7Kf685BD,,Coustomer service ,,Strong ,,,,,Bangalore,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",16-20 years old,,Executive-Middle/ Senior management,0.164237022,0.75403446,0.081728525,0.036316868,0.460707396,0.502975762,0.036316868,0.460707396,0.502975762,0.036316868,0.460707396,0.502975762,  ,  ,  ,  
1531.0,13-10-22 23:44,13-10-22 23:53,R_1JDFuFp60NJpljM,,It's very good ,,,,It's very good and sweet ,,,Hyderabad,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,Executive-Junior/ Supervisory,0.002877322,0.02351848,0.973604202,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1532.0,13-10-22 23:37,13-10-22 23:54,R_1ezsgGdN63Ywe5v,,,,its everlasting brand,,,,its everlasting brand and comfortable using and its easy,Hyderabad,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Junior/ Supervisory,0.239502162,0.528188825,0.232308999,0.055472553,0.630077362,0.314450115,0.055472553,0.630077362,0.314450115,0.055472553,0.630077362,0.314450115,  ,  ,  ,  
1533.0,13-10-22 23:43,13-10-22 23:54,R_2PvUmfB9ArWmvKb,4.0,Good product,4.0,,4.0,,4.0,Godrej,Kochi,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Junior/ Supervisory,0.008658473,0.099322028,0.89201957,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,Revised Promoter,Detractor,Detractor,Detractor
1534.0,13-10-22 23:37,13-10-22 23:54,R_bI4aeNMTXtFszYt,7.0,It has ni e quality,7.0,,7.0,Quality and quantity are good of this product,7.0,,Hyderabad,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Below 10 years old,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",0.366750211,0.572502613,0.060747124,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,Detractor,Detractor,Detractor,Detractor
1535.0,13-10-22 23:43,13-10-22 23:54,R_x3gfDkMGRWlztEB,6.0,The brand is good but it has to upgrade according to the present needs,6.0,,6.0,,6.0,I have used only one time and i didn't get the expected result ,Hyderabad,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Middle/ Senior management,0.016853973,0.292434543,0.690711498,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,Revised Promoter,Detractor,Detractor,Detractor
1536.0,13-10-22 23:32,13-10-22 23:55,R_1He1s4JEmaNYBdK,,"ITS GOOD BUT COMPARED TO SAMSUNG,I LIKE A BIT MORE SAMSUNG",,,,,,its a very good brands,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Middle/ Senior management,0.008390383,0.092456415,0.899153233,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1537.0,13-10-22 23:48,13-10-22 23:55,R_2VEzwnJ2v0hSqFk,,,,For good quality product and style ,,,,,Hyderabad,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,Business owner or Industrialist with 50 or more employees,0.239502162,0.528188825,0.232308999,0.012176041,0.265688092,0.722135901,0.012176041,0.265688092,0.722135901,0.012176041,0.265688092,0.722135901,  ,  ,  ,  
1538.0,13-10-22 23:44,13-10-22 23:56,R_1lnH4k4pMXPuSbY,,,,8,,,,9.5/10,Hyderabad,22-25,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Business owner or Industrialist with 1-49 employees,0.239502162,0.528188825,0.232308999,0.23427926,0.493488401,0.272232264,0.23427926,0.493488401,0.272232264,0.23427926,0.493488401,0.272232264,  ,  ,  ,  
1539.0,13-10-22 23:37,13-10-22 23:56,R_2w4srID24duE6Q3,,Service are good and the product are very useful,,The product s are excellent and is very unique brand,,,,,Ahmedabad,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management,0.00261207,0.017408796,0.979979157,0.001948084,0.022423597,0.975628257,0.001948084,0.022423597,0.975628257,0.001948084,0.022423597,0.975628257,  ,  ,  ,  
1540.0,13-10-22 23:48,13-10-22 23:57,R_3hFPUoFUkA9rEWh,7.0,Good quality,7.0,Good quality,7.0,,7.0,,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Business owner or Industrialist with 1-49 employees,0.029416468,0.325990796,0.644592762,0.029416468,0.325990796,0.644592762,0.029416468,0.325990796,0.644592762,0.029416468,0.325990796,0.644592762,Revised Promoter,Revised Promoter,Revised Promoter,Revised Promoter
