StartDate,EndDate,ResponseId,Appliances-Score,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
12-10-2022 20:38,12-10-2022 21:12,R_yW6e67kwriDVecV,,,,0.2395022064,0.5281888843,0.0,,Hyderabad,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,15-20 Lacs,"Married, no kids ",,
12-10-2022 21:05,12-10-2022 21:17,R_2rowgoTaLG7fdD0,,9.0,it is an excellent brand. there is no question regarding its quality. it is a well built brand,0.0030579912,0.0230499469,0.9738921523,Promoter,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",Below 10 years old,
12-10-2022 20:59,12-10-2022 21:17,R_12RWEvD54uIYtfm,,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 21:05,12-10-2022 21:18,R_1M4m49i7MYZUZPz,,,,0.2395022064,0.5281888843,0.0,,Ahmedabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,10-15 Lacs,"Married, no kids ",,
12-10-2022 21:01,12-10-2022 21:20,R_3frdyb4DwxVWFUS,,,,0.2395022064,0.5281888843,0.0,,Ahmedabad,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop",Student,,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 21:15,12-10-2022 21:22,R_3kBx6sELwGdbJus,,10.0,A reputed brand with years of experience in security solutions ,0.0249118786,0.6381585598,0.3369295299,passive,Pune,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Service (Rural or Urban),Above 35 Lacs,"Married, with kid(s)",10-15 years old,
12-10-2022 21:14,12-10-2022 21:26,R_Ac8djytiPD0ZUUp,,9.0,Operating time ,0.1632813513,0.6986125708,0.1381060332,passive,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
12-10-2022 21:28,12-10-2022 21:33,R_eRn5e52yCozMrwB,,6.0,"Trusted brand, reputed",0.0316702314,0.743211627,0.2251181901,passive,Pune,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Executive-Junior/ Supervisory,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 21:42,12-10-2022 21:51,R_2t9jd7Cgsv84lBz,,10.0,Good quality material ,0.0109099019,0.1632090807,0.8258809447,Promoter,Kochi,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
12-10-2022 21:47,12-10-2022 21:54,R_6PeyN90LmFcjroZ,,10.0,Yeah they are safe and of high standard ,0.0101613812,0.2456151694,0.7442234159,Promoter,Hyderabad,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
12-10-2022 21:50,12-10-2022 21:55,R_3no3V4TQQvqrqof,,10.0,,0.2395022064,0.5281888843,0.0,,Mumbai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, no kids ",,
12-10-2022 21:55,12-10-2022 22:01,R_2Wx0RlLySA8b5Fu,,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,26-30,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",25-30 Lacs,"Married, with kid(s)",10-15 years old,
12-10-2022 21:56,12-10-2022 22:02,R_3oTHc0OJnjwbJdf,,10.0,Efficiency ,0.0637686625,0.6647809744,0.2714504004,passive,Chennai,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",10-15 years old,
12-10-2022 21:55,12-10-2022 22:02,R_1eEtMZV3RvlZTAh,,10.0,Brand trust quality good,0.0098174922,0.2547498047,0.735432744,Promoter,Hyderabad,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 21:49,12-10-2022 22:05,R_2CV86rdQRPJ1fBQ,,9.0,,0.2395022064,0.5281888843,0.0,,Ahmedabad,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",Service (Rural or Urban),5-10 Lacs,"Married, no kids ",,
12-10-2022 21:57,12-10-2022 22:05,R_10MC5904Lz0QPQI,,9.0,its has rich heritage and one of the top brands,0.0021761884,0.0589069501,0.9389169216,Promoter,Hyderabad,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",10-15 years old,
12-10-2022 21:57,12-10-2022 22:07,R_3m2AJMzRhkqvAZa,,6.0,,0.2395022064,0.5281888843,0.0,,Bangalore,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 22:00,12-10-2022 22:12,R_A0XHtKQrxxnoVON,,10.0,It is old trustworthy company .it is known for its durability.its high quality products are known to everyone.,0.0042185546,0.1094142571,0.8863671422,Promoter,Hyderabad,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",
12-10-2022 22:04,12-10-2022 22:22,R_3HHzZ31PSKjCG2u,,8.0,It's best i know ,0.0197981484,0.3231837451,0.6570180058,passive,Bangalore,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,
12-10-2022 22:14,12-10-2022 22:23,R_3je5ATAJl8121ym,,8.0,Very bad working condition ,0.9058201909,0.0854341313,0.0087455641,Detractor,Bangalore,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)",Below 10 years old,
12-10-2022 23:58,13-10-2022 00:08,R_1jPQeP7jDWDKdoY,,8.0,it has durable and cost effective locks that give me a sense of security.,0.007092434,0.2036328316,0.7892746329,Promoter,Pune,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 21:14,13-10-2022 21:21,R_2qsDeFOdnRsFDJp,,10.0,It is very popular and trusted brand,0.0022495911,0.0741548389,0.9235954285,Promoter,Hyderabad,18-21,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Student,,"Single (includes divorced/ widowed), no kids ",,
