0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,score,text,text_Negative,text_Neutral,text_Positive,label,score1,text.1,text.1_Negative,text.1_Neutral,text.1_Positive,label1,score2,text.2,text.2_Negative,text.2_Neutral,text.2_Positive,label2,score3,text.3,text.3_Negative,text.3_Neutral,text.3_Positive,label3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
8,01-09-22 4:50,01-09-22 9:48,R_3Je0gvT2Vv0amwj,,cxvxcv,0.22754693,0.574081481,0.198371634,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Pune,46-50,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,2 people,Business owner or Industrialist with 1-49 employees
9,01-09-22 20:52,01-09-22 21:03,R_1jVR9xGG6JpYQHe,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Shop or Store Owner,15-20 Lacs,"Married, with kid(s)",16-20 years old,No one (living by myself),Shop or Store Owner
10,01-09-22 21:03,01-09-22 21:04,R_3EKKsMo114DjfFP,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Bangalore,36-40,Female,Graduation/ Post Graduation: Professional,"Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",No one (living by myself),Business owner or Industrialist with 1-49 employees
11,02-09-22 1:25,02-09-22 1:34,R_YbKM81o8AT1NLtn,,123,0.194447264,0.57645762,0.229095042,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Bangalore,31-35,Male,Literate but no formal school/ School up to 4 years,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Service (Rural or Urban),15-20 Lacs,"Married, no kids ",,1 person,Service (Rural or Urban)
12,04-09-22 21:44,04-09-22 21:48,R_SK1EI0VVAlmIXbb,9.0,23,0.192375734,0.555389881,0.25223437,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Junior/ Supervisory,25-30 Lacs,"Married, no kids ",,2 people,Executive-Junior/ Supervisory
13,06-09-22 22:28,06-09-22 22:46,R_tSuutm1aZ4xugTf,9.0,hjhjhj,0.171854913,0.717099965,0.111045152,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,Pune,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Importer or Trader,10-15 Lacs,"Married, no kids ",,1 person,Importer or Trader
14,08-09-22 3:13,08-09-22 3:15,R_3lVQ5VMBOvyyq9D,7.0,9+++,0.066123679,0.797293305,0.136583015,Detractor,7.0,+,0.171887189,0.571834564,0.256278217,Detractor,7.0,,0.171887189,0.571834564,0.256278217,Detractor,7.0,,0.171887189,0.571834564,0.256278217,Detractor,Kolkata,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Married, with kid(s)",16-20 years old,2 people,Business owner or Industrialist with 1-49 employees
15,19-09-22 4:08,19-09-22 4:17,R_1QlNDnRC2mHObt4,6.0,nknk,0.265708029,0.527197719,0.207094312,Detractor,6.0,as,0.248678058,0.521101475,0.230220422,Detractor,6.0,,0.248678058,0.521101475,0.230220422,Detractor,6.0,,0.248678058,0.521101475,0.230220422,Detractor,Mumbai,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Single (includes divorced/ widowed), with kid(s)",10-15 years old,No one (living by myself),Executive-Junior/ Supervisory
16,19-09-22 23:28,20-09-22 0:26,R_24zXcLDMoZVDYfT,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,as,0.239502162,0.528188825,0.232308999,  ,,no,0.239502162,0.528188825,0.232308999,  ,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, no kids ",,More than 4 people,Executive-Middle/ Senior management
17,26-09-22 14:58,26-09-22 15:06,R_30tMKkuccI5zKCU,9.0,asas,0.261113703,0.522197425,0.216688901,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), with kid(s)","10-15 years old,16-20 years old",,Business owner or Industrialist with 1-49 employees
