Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive
1152,09-10-2022 20:45,09-10-2022 20:50,R_3CHJCqA79V8fFTt,,,,,,,10.0,It has complete security solutions for my needs,Kolkata,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143138506,0.3205891252,0.6650969982
1153,09-10-2022 20:45,09-10-2022 20:50,R_2b1yNZI1Xkk7MGN,,,9.0,Good morning I was wondering what is going to happen to know that you have been in contact for the year of it and ,,,10.0,Good to hear that you're having a great day today with your new family in a few months so we can get a better price ,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,10-15 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0229632333,0.7970014811,0.180035308,0.0,0.0,0.0,0.001175696,0.008831637,0.9899924397
1154,09-10-2022 20:47,09-10-2022 20:50,R_2aF7r74OzDteIsk,,,8.0,It is good ,,,,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0038795713,0.037150979,0.9589694142,0.0,0.0,0.0,0.0,0.0,0.0
1155,09-10-2022 20:23,09-10-2022 20:51,R_2P6vi2bmXKL492X,,,10.0,Good performance so good security good feelings,,,8.0,Very game secure unique features really good.,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,Above 35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0038281451,0.037416365,0.9587554336,0.0,0.0,0.0,0.0033011488,0.0275204908,0.9691784978
1156,09-10-2022 20:46,09-10-2022 20:51,R_Z29UlHODWvNum7T,,,9.0,,,,8.0,,Kolkata,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,09-10-2022 20:37,09-10-2022 20:51,R_1cYa1T6OWooO5mt,,,8.0,It's Old trusted brand ,,,,,Hyderabad,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0595578179,0.752858758,0.1875834316,0.0,0.0,0.0,0.0,0.0,0.0
1158,09-10-2022 20:42,09-10-2022 20:51,R_3OjDf4kcK0hRCKU,,,,,,,10.0,I like it very much ,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025683825,0.0268308949,0.970600903
1159,09-10-2022 20:39,09-10-2022 20:51,R_22VmrsbPN2aXVuy,,,10.0,,,,10.0,,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,Above 35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,09-10-2022 20:42,09-10-2022 20:51,R_2dXguq6pDtANl1s,,,9.0,Godrej is trustworthy brand.,,,9.0,Godrej provide very good quality security solution and locks,Mumbai,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Junior/ Supervisory,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.0,0.0,0.0,0.0145565607,0.4804299474,0.5050134659,0.0,0.0,0.0,0.0069580441,0.1153486222,0.8776934743
1161,09-10-2022 20:43,09-10-2022 20:52,R_3PRgkJ72BwmZjKE,,,,,,,10.0,The quality of the product is gone. Finishing is nice and it is highly durable,Chennai,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old,16-20 years old",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619323552,0.2048184872,0.7332491875
1162,09-10-2022 20:47,09-10-2022 20:52,R_V4lXzHfher96YeJ,,,10.0,I love it ,,,10.0,The quality ,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Importer or Trader,15-20 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0073312595,0.0267732553,0.9658954144,0.0,0.0,0.0,0.1896349639,0.6098117232,0.2005534917
